date;Nb(#);Duration;Amplitude;Magnitude;E(J);Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
20180901 024030.18;3;12.36;Faible;0.0728415716;81145.1107626815;-61.66393115;16.04473992;-0.53515625;VOLCEMB;2018/09/01/ovsg2018regugs;manual;earthquake;WGS84;ABU;20180901T024030.18;2018-09#6
20180901 045810.98;3;3.9;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/01/ovsg2018reliuw;manual;earthquake;WGS84;ABU;20180901T045810.98;2018-09#9
20180901 090602.58;2;6.18;Faible;-0.4760826548;12186.4165197203;-61.66393115;16.04307363;-0.88671875;VOLCEMB;2018/09/01/ovsg2018retokg;manual;earthquake;WGS84;ABU;20180901T090602.58;2018-09#12
20180901 094841.28;1;6.24;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/01/ovsg2018reuzdv;manual;earthquake;WGS84;SM;20180901T094841.28;2018-09#13
20180901 123819.62;1;4.5;Faible;-0.3373986166;19674.4261991093;-61.6624236;16.04369848;-0.7109375;VOLCTECT;2018/09/01/ovsg2018rfapil;manual;earthquake;WGS84;SM;20180901T123819.62;2018-09#15
20180901 124640.50;1;3.96;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/01/ovsg2018rfawnn;manual;earthquake;WGS84;SM;20180901T124640.50;2018-09#16
20180901 150044.40;1;1.62;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/01/ovsg2018rffibg;manual;earthquake;WGS84;SM;20180901T150044.40;2018-09#17
20180901 150816.98;1;3.36;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/01/ovsg2018rffooa;manual;earthquake;WGS84;SM;20180901T150816.98;2018-09#18
20180901 171349.98;1;5.04;Faible;;;-61.66342;16.05245;;VOLCTECT;2018/09/01/ovsg2018rfjssy;manual;earthquake;WGS84;SM;20180901T171349.98;2018-09#20
20180901 175047.64;1;2.52;Faible;-0.25118863;26498.241569905;-61.66393115;16.04432334;-0.53515625;VOLCTECT;2018/09/01/ovsg2018rfkype;manual;earthquake;WGS84;ABU;20180901T175047.64;2018-09#22
20180901 182830.18;1;4.14;Faible;;;-61.6305;16.0607;0;VOLCTECT;2018/09/01/ovsg2018rfmfbs;manual;not locatable;WGS84;ABU;20180901T182830.18;2018-09#26
20180901 184134.02;1;1.8;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/01/ovsg2018rfmqiz;manual;earthquake;WGS84;ABU;20180901T184134.02;2018-09#27
20180901 194555.62;1;4.2;Faible;0.1595097359;109462.308730548;-61.6647926;16.04307363;-0.88671875;VOLCTECT;2018/09/01/ovsg2018rfotus;manual;earthquake;WGS84;SM;20180901T194555.62;2018-09#30
20180901 224100.00;3;8.94;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/01/ovsg2018rfuork;manual;earthquake;WGS84;ABU;20180901T224100.00;2018-09#32
20180901 230045.30;2;5.64;Faible;;;-61.66168;16.0427;;VOLCEMB;2018/09/01/ovsg2018rfvfrx;manual;earthquake;WGS84;ABU;20180901T230045.30;2018-09#33
20180901 231329.64;1;5.1;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/01/ovsg2018rfvqrf;manual;earthquake;WGS84;ABU;20180901T231329.64;2018-09#34
20180902 002632.28;3;4.98;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/02/ovsg2018rfybpw;manual;earthquake;WGS84;ABU;20180902T002632.28;2018-09#39
20180902 010438.58;2;5.82;Faible;;;-61.66168;16.0427;;VOLCEMB;2018/09/02/ovsg2018rfzilm;manual;earthquake;WGS84;ABU;20180902T010438.58;2018-09#40
20180902 012611.76;2;4.26;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/02/ovsg2018rgabai;manual;earthquake;WGS84;ABU;20180902T012611.76;2018-09#41
20180902 013333.48;1;3.06;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/02/ovsg2018rgahjj;manual;earthquake;WGS84;SM;20180902T013333.48;2018-09#42
20180902 045827.36;2;4.68;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/02/ovsg2018rghbyc;manual;earthquake;WGS84;ABU;20180902T045827.36;2018-09#50
20180902 052138.82;1;1.56;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/02/ovsg2018rghvxn;manual;earthquake;WGS84;SM;20180902T052138.82;2018-09#51
20180902 055909.36;1;2.16;Faible;;;-61.66342;16.05245;;VOLCTECT;2018/09/02/ovsg2018rgjcgb;manual;earthquake;WGS84;ABU;20180902T055909.36;2018-09#52
20180902 060719.68;2;2.88;Faible;;;-61.66342;16.05245;;VOLCEMB;2018/09/02/ovsg2018rgjjhb;manual;earthquake;WGS84;ABU;20180902T060719.68;2018-09#53
20180902 062118.12;1;4.44;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/02/ovsg2018rgjvii;manual;earthquake;WGS84;ABU;20180902T062118.12;2018-09#54
20180902 071200.06;1;9.72;Faible;0.9038244161;1431319.6189535;-61.66091593;16.05098847;0.98828125;VOLCTECT;2018/09/02/ovsg2018rglmzw;manual;earthquake;WGS84;SM;20180902T071200.06;2018-09#44
20180902 072040.14;1;8.58;Faible;0.458252266;307169.71799287;-61.66737701;16.04557303;0.28515625;VOLCTECT;2018/09/02/ovsg2018rglump;manual;earthquake;WGS84;SM;20180902T072040.14;2018-09#45
20180902 072830.66;1;9.78;Faible;0.4546261818;303346.698552893;-61.66177743;16.05015534;0.98828125;VOLCTECT;2018/09/02/ovsg2018rgmbfy;manual;earthquake;WGS84;SM;20180902T072830.66;2018-09#46
20180902 083414.04;1;4.02;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/02/ovsg2018rgofwr;manual;earthquake;WGS84;SM;20180902T083414.04;2018-09#55
